Nome Arquivo; Caminho Arquivos; Termos Extraidos
125789561303_673800008;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561303_673800008.pdf; REGISTRO DE CONTRATO, 
125789561311_673800016;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561311_673800016.pdf; Sem termos localizados
125789561338_673800037;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561338_673800037.pdf; Sem termos localizados
125789561389_673800076;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561389_673800076.pdf; Sem termos localizados
125789561397_673800079;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561397_673800079.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789561885_673800897;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561885_673800897.pdf; Sem termos localizados
125789561907_673800931;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561907_673800931.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789561915_673800949;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561915_673800949.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789561923_673800960;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561923_673800960.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789561931_673800974;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789561931_673800974.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562270_673801606;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562270_673801606.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789562318_673801658;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562318_673801658.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562326_673801672;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562326_673801672.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562652_673802384;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562652_673802384.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789562830_673802959;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562830_673802959.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562849_673802975;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562849_673802975.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562857_673802994;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562857_673802994.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789562865_673803013;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789562865_673803013.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
